,shareholder_id,company_id,ownership
221,260153,5381525,0.0088
222,260265,5228367,0.0088
223,260699,10023443,0.0075
224,265991,1670002,0.018000000000000002
225,268737,10085661,0.49090000000000006
226,271305,4739920,0.9891
227,271305,11655177,0.034
228,273703,8162852,0.0155
229,273703,6412530,0.1
230,273703,10780189,0.0301
231,273703,1065789,0.037000000000000005
232,273703,6482032,0.095
233,281524,8731754,0.035
234,281642,7989354,0.0034000000000000002
235,282270,4634464,0.0926
236,283381,7253242,0.036000000000000004
237,284560,5892692,0.0366
238,286171,1762574,0.001
239,288649,11477709,0.03
240,289841,11359568,0.0154
241,292353,543465,0.027999999999999997
242,294589,5001605,0.028999999999999998
243,294589,2202981,0.094
244,295306,8804375,0.226
245,297021,10209231,0.055099999999999996
246,298619,4145406,0.0037
247,300000,9441401,0.1322
248,300818,6398555,0.136
249,303407,4415479,0.0036
250,303506,2208550,0.1359
251,304837,2484976,0.37520000000000003
252,305503,614688,0.0227
253,306995,5478159,0.25
254,306995,1242474,0.26
255,306995,7444246,0.209
256,306995,6676169,0.0278
257,306995,11165992,0.3918
258,306995,1202705,0.01
259,306995,351619,0.01
260,310745,983404,0.01
261,311209,9678932,0.01
262,314400,8674417,0.01
263,315109,9793987,0.01
264,316422,11177014,0.01
265,316422,814375,0.0046
266,317234,5107919,0.01
267,317234,653107,0.1834
268,320145,9393929,0.1038
269,321401,4071476,0.42340000000000005
270,321401,4415477,0.01
271,321401,2608082,0.1845
272,323788,836881,0.0175
273,333831,9762941,0.2376
274,337711,836881,0.045
275,338958,7771476,0.1588
276,338958,4290701,0.045
277,342551,10960347,0.43200000000000005
278,345108,4623902,0.4329
279,349479,9412732,0.09300000000000001
280,350417,9320268,0.0378
281,351619,11823798,0.0663
