,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
316,5391118,3833320.0,41.0,4120.0,BE,False
317,5411291,25598452000.0,64.0,6419.0,FR,False
318,5417694,11162.0,30.0,7320.0,BE,False
319,5446758,,,,AT,False
320,5447601,77896647.0,66.0,6630.0,SE,False
321,5461640,4370285.0,25.0,2599.0,BE,False
322,5467091,,68.0,6810.0,FR,False
323,5477177,,,,BE,False
324,5478956,,,,BE,False
325,5484409,2216027000.0,64.0,6419.0,FR,False
326,5498924,,,,BE,False
327,5515510,313222618.0,64.0,6420.0,BE,False
328,5515916,,,,CL,False
329,5522671,17698047000.0,65.0,6500.0,FI,False
330,5531002,,,,BE,False
331,5557350,3368802.0,66.0,6619.0,GB,False
332,5558357,15145611000.0,64.0,6419.0,FR,False
333,5564682,,,,BE,False
334,5565324,,,,BE,False
335,5590664,64687391.0,35.0,3511.0,BE,False
336,5610516,,,,NO,False
337,5621887,338166291.0,66.0,6619.0,GB,False
338,5636384,,,,HK,False
339,5695637,11690507000.0,64.0,6419.0,FR,False
340,5708926,,,,FR,False
341,5712407,,,,BE,False
342,5745517,134806183.0,64.0,6492.0,SE,False
343,5758669,,,,AT,False
344,5765110,204480540530.0,64.0,6419.0,SE,False
345,5775418,,,,BE,False
346,5809960,555619000000.0,64.0,6419.0,FR,False
347,5810758,,,,AT,False
348,5815049,,,,US,False
349,5927624,16721230000.0,64.0,6419.0,FR,False
350,5993899,21995374000.0,64.0,6419.0,FR,False
351,6018271,,,,ES,False
352,6029224,,,,AT,False
353,6059203,,,,AT,False
354,6078117,5548109.0,72.0,7211.0,BE,True
355,6078577,,,,NO,False
356,6112881,203316207.0,38.0,3822.0,BE,False
357,6113756,17331882000.0,64.0,6419.0,FR,False
358,6128935,2405599000.0,64.0,6419.0,AT,False
359,6133470,24964951000.0,64.0,6419.0,FR,False
360,6139352,332582234.0,65.0,6511.0,SE,False
361,6156300,389848000.0,21.0,7211.0,BE,True
362,6166659,,,,SE,False
363,6167181,1732015000.0,64.0,6492.0,FR,False
364,6180104,245370127.0,66.0,6630.0,SE,False
365,6182535,3355759000.0,64.0,6420.0,BE,False
366,6189242,,,,BE,False
367,6263012,,,,BE,False
368,6275023,38888904.0,64.0,6420.0,BE,False
369,6306872,,,,BE,False
370,6329177,,,,US,False
371,6333957,,,,ES,False
372,6334841,,,,SE,False
373,6373971,103218466.0,66.0,6630.0,FR,False
374,6390697,3153823.0,72.0,7211.0,BE,True
375,6393747,,,,US,False
376,6397740,199032326.0,26.0,2630.0,BE,False
377,6399532,12153364000.0,64.0,6419.0,FR,False
378,6476442,1107585523.0,21.0,2120.0,SE,False
379,6480129,,,,FR,False
380,6488996,,,,BE,False
381,6489451,121122461.0,27.0,2732.0,BE,False
382,6497084,,94.0,9420.0,SE,False
383,6520383,,,,MX,False
384,6536690,,,,BE,False
385,6581147,,,,AT,False
386,6584941,2266300000.0,64.0,6419.0,AT,False
387,6596777,,,,NO,False
388,6625366,22996284000.0,64.0,6499.0,FR,False
389,6626867,1119992976.0,82.0,8299.0,GB,False
390,6644334,11009029.0,24.0,2410.0,BE,False
391,6653823,,66.0,6619.0,NO,False
392,6718420,786948283.0,82.0,8299.0,GB,False
393,6723777,,,,MA,False
394,6757171,,,,ES,False
395,6760459,,,,BE,False
396,6765915,767462326.0,64.0,6499.0,GB,False
397,6769852,,,,FR,False
398,6796023,3672754000.0,64.0,6490.0,BE,False
399,6833738,60425621000.0,64.0,6419.0,FR,False
400,6887954,,,,BE,False
401,6916603,442210060.0,65.0,6511.0,SE,False
402,6989083,1930575000.0,64.0,6419.0,AT,False
403,6996678,,,,AT,False
404,6998235,,,,BE,False
405,7006062,,,,ES,False
406,7042068,266039000.0,64.0,6419.0,AT,False
407,7063828,31737563000.0,64.0,6419.0,FR,False
408,7080313,169235802.0,64.0,6430.0,GB,False
409,7105865,,,,BE,False
410,7139133,1603512000.0,64.0,6419.0,AT,False
411,7141071,17150439000.0,65.0,6500.0,BE,False
412,7148664,16028419000.0,64.0,6419.0,FR,False
413,7161876,,,,AT,False
414,7163998,,,,NO,False
415,7186516,,,,FR,False
416,7194970,12585041000.0,64.0,6419.0,FR,False
417,7233347,292830000.0,64.0,6419.0,AT,False
418,7298624,,,,FI,False
419,7324013,25029000000.0,30.0,7010.0,IT,False
420,7361219,,,,FR,False
421,7378870,8176882.0,72.0,7211.0,BE,True
422,7382878,,,,FR,False
423,7383038,671399223.0,70.0,7022.0,SE,False
424,7418799,34222561.0,72.0,7211.0,BE,True
425,7456348,11803447000.0,64.0,6419.0,AT,False
426,7468500,,,,FR,False
427,7492101,,,,FR,False
428,7534907,,,,US,False
429,7550055,2746014700.0,70.0,7010.0,GB,False
430,7584656,121634552.0,43.0,4322.0,BE,False
431,7589935,34093454.0,72.0,7211.0,BE,True
432,7616672,684368000.0,64.0,6419.0,AT,False
433,7637154,,,,BE,False
434,7637269,,,,US,False
435,7642175,,,,BE,False
436,7651444,16847065000.0,64.0,6419.0,FR,False
